"PC Name","Company", "Site", "Solution", "Product", "availableCSpace (G)","totalCSpace (G)", "availableDSpace (G)", "totalDSpace (G)" 
"FTWWS2050_C4346B548823","Verizon-FastClear","Verizon","allinone","greent","68","433","31","31",
"FTWWS2053_C4346B515430","Verizon-FGO","Verizon-FGO","allinone","greent","317","465","N/A","N/A",
"FTWWS2054_40A8F064596D","Verizon-FGO","Verizon-FGO","allinone","greent","325","433","31","31",
"FTWWS2056_C4346B549F8F","Verizon-FGO","Verizon-FGO","allinone","greent","353","465","N/A","N/A",
"FTWWS2061_C4346B5354AF","Verizon-FGO","Verizon-FGO","allinone","greent","312","465","N/A","N/A",
"FTWWS2062_C4346B57C308","Verizon-FGO","Verizon-FGO","allinone","greent","313","465","N/A","N/A",
"FTWWS2069_40A8F064703E","Verizon-FastClear","Verizon","allinone","greent","320","433","31","31",
"FTWWS2070_C4346B549FFC","Verizon-FGO","Verizon-FGO","allinone","greent","318","465","N/A","N/A",
"FTWWS2139_40A8F067EC11","Verizon-FastClear","Verizon","allinone","greent","268","433","31","31",
"FTWWS2215_A0D3C12D11D2","Verizon-FastClear","Verizon","allinone","greent","319","433","31","31",
"FTWWS2241_A0481CAC78E4","Verizon-FGO","Verizon-FGO","allinone","greent","292","433","31","31",
"FTWWS2249_C4346B57C8DC","Verizon-Android","Verizon","allinone","greent","409","433","31","31",
